iter	RMSE
284	1.197015059
285	1.193823126
286	1.193347634
287	1.189423345
288	1.185846155
289	1.18270597
290	1.1791403
291	1.178566425
292	1.178006685
293	1.172785524
294	1.172242519
295	1.171186981
296	1.170671166
297	1.167954391
298	1.167457327
299	1.166972396
300	1.163293171
301	1.158552746
302	1.155473421
303	1.15338003
304	1.15094862
305	1.145550161
306	1.145112932
307	1.143063828
308	1.142736976
309	1.14232398
310	1.140313457
311	1.135242391
312	1.133349102
313	1.132960039
314	1.131371833
315	1.129181554
316	1.124019758
317	1.12228486
318	1.121929768
319	1.117773111
320	1.113285432
321	1.109017428
322	1.107311192
323	1.10347833
324	1.102974813
325	1.100304781
326	1.098385017
327	1.096211769
328	1.09139967
329	1.091091646
330	1.090791408
331	1.090498734
332	1.090213409
333	1.086839418
334	1.083476848
335	1.080841322
336	1.078572826
337	1.075514562
338	1.075248884
339	1.073853467
340	1.071647174
341	1.07139762
342	1.067286027
343	1.063601104
344	1.061011049
345	1.059501248
346	1.056159032
347	1.054184753
348	1.050460791
349	1.048577134
350	1.046025052
351	1.043395817
352	1.039585292
353	1.036978591
354	1.033914991
355	1.031495285
356	1.029485976
357	1.027093946
358	1.025905362
359	1.022478027
360	1.020372188
361	1.01867542
362	1.016535736
363	1.012930533
364	1.010382069
365	1.009064152
366	1.006495274
367	1.002845728
368	0.9997582251
369	0.9977668324
370	0.9965956643
371	0.9938966861
372	0.9907865156
373	0.9872202435
374	0.985066495
375	0.9838309199
376	0.9796490788
377	0.9781565756
378	0.9755786515
379	0.9724156917
380	0.9701490424
381	0.9686831791
382	0.9670639533
383	0.9638043033
384	0.961611718
385	0.9589211273
386	0.9570665708
387	0.9535356454
388	0.9503759273
389	0.9476904692
390	0.9437937483
391	0.9406248217
392	0.9391271577
393	0.9376024622
394	0.935315887
395	0.9330060945
396	0.9303537889
397	0.9270413944
398	0.9258277362
399	0.9232930815
400	0.9208730629
401	0.9186283767
402	0.9165253805
403	0.9128586923
404	0.9110082077
405	0.9096794953
406	0.9066925566
407	0.9051694636
408	0.9018413466
409	0.9005191463
410	0.8979405848
411	0.8965413189
412	0.8935672147
413	0.8911906751
414	0.8896016899
415	0.8880262701
416	0.8878404998
417	0.8865010807
418	0.8853224959
419	0.8823804047
420	0.8792921444
421	0.8767105102
422	0.8738855295
423	0.8718501335
424	0.8700136824
425	0.8689322561
426	0.8669499468
427	0.8643198218
428	0.8608268948
429	0.8598180291
430	0.8569152476
431	0.854450515
432	0.8517661192
433	0.8498206255
434	0.8467679762
435	0.8457810594
436	0.8439831234
437	0.8414472153
438	0.8390158602
439	0.8366038567
440	0.835603588
441	0.8335650055
442	0.8324674591
443	0.8300014304
444	0.8275859707
445	0.825180125
446	0.8242419393
447	0.8214280924
448	0.8196274831
449	0.8177212764
450	0.8154676868
451	0.8137060118
452	0.8113673876
453	0.8104598313
454	0.8091549043
455	0.8066589466
456	0.8049879991
457	0.8023649704
458	0.8005505773
459	0.7996240411
460	0.7976871406
461	0.7953508036
462	0.7941092675
463	0.792963894
464	0.7903850606
465	0.7883574332
466	0.7862837743
467	0.7843891364
468	0.7825187269
469	0.782315761
470	0.7804396194
471	0.7784083818
472	0.7768382617
473	0.7751182702
474	0.7729834996
475	0.7707349486
476	0.768661894
477	0.7654930139
478	0.7643535123
479	0.7623327824
480	0.7600895221
481	0.7586663165
482	0.7566927363
483	0.7546784986
484	0.7537193313
485	0.7514644497
486	0.7497789916
487	0.7483383896
488	0.7460881579
489	0.7442371012
490	0.7414657138
491	0.7397151785
492	0.7390920629
493	0.737593182
494	0.7356469295
495	0.7346061696
496	0.7329514257
497	0.7313983634
498	0.7289638362
499	0.7270402079
500	0.7253114645
501	0.7237163288
502	0.7219020853
503	0.7199684004
504	0.7191645134
505	0.7178150457
506	0.7158799451
507	0.7143196779
508	0.7130083583
509	0.7118562274
510	0.7100354894
511	0.708751764
512	0.7086124559
513	0.7077771198
514	0.7058442856
515	0.7039644972
516	0.7038094048
517	0.7026298773
518	0.7011830703
519	0.6999998527
520	0.6987921556
521	0.6980355883
522	0.6962493178
523	0.6961204919
524	0.6948105543
525	0.6934061712
526	0.6920544853
527	0.6903361625
528	0.688183932
529	0.6868896704
530	0.6853166421
531	0.6842736542
532	0.6834171234
533	0.6814761963
534	0.6804108759
535	0.6783651457
536	0.6768965786
537	0.6767911031
538	0.6749494645
539	0.6734334506
540	0.6726149824
541	0.6714666125
542	0.6713456113
543	0.670223979
544	0.66893324
545	0.668007015
546	0.6667292827
547	0.6666418393
548	0.6651836913
549	0.6638570936
550	0.6625350733
551	0.6610897959
552	0.659399466
553	0.6577679471
554	0.6567273901
555	0.6553150449
556	0.6535065134
557	0.6525416628
558	0.6511906322
559	0.6499392744
560	0.6491532694
561	0.6479811878
562	0.6478356198
563	0.6461182152
564	0.6446417968
565	0.6433246714
566	0.6431143515
567	0.6421134797
568	0.6404843248
569	0.6390523104
570	0.6374818722
571	0.6359787801
572	0.6351762964
573	0.6337340602
574	0.6324698566
575	0.6318809569
576	0.6309424482
577	0.6296588264
578	0.6289428655
579	0.6270179189
580	0.625769905
581	0.6243373076
582	0.623439599
583	0.6219527299
584	0.6209935372
585	0.6208453679
586	0.6201473027
587	0.6183711293
588	0.6168291707
589	0.6151761361
590	0.614319239
591	0.6135297609
592	0.6120139181
593	0.6110285558
594	0.6098937305
595	0.6086148815
596	0.6085240283
597	0.6072572123
598	0.606153479
599	0.6048618557
600	0.6039019135
601	0.602849445
602	0.6016236635
603	0.6014961756
604	0.6004208456
605	0.6002970573
606	0.5991367953
607	0.5985609819
608	0.5975414591
609	0.5964504161
610	0.5952228808
611	0.5945726542
612	0.5934922427
613	0.5933721504
614	0.5930346759
615	0.5921650877
616	0.5911631237
617	0.5897862475
618	0.5887860348
619	0.5878297869
620	0.5870022112
621	0.5858522318
622	0.5849995091
623	0.5842694226
624	0.5834570539
625	0.5824704796
626	0.5823685006
627	0.581262495
628	0.5811747494
629	0.5810863647
630	0.5799133098
631	0.5789209806
632	0.5778353199
633	0.5768162101
634	0.5757201518
635	0.5745657002
636	0.5738015843
637	0.5727256688
638	0.5719702344
639	0.5710044754
640	0.5700354316
641	0.5688875258
642	0.5680201878
643	0.5679390154
644	0.5668512969
645	0.5659680653
646	0.5654016559
647	0.5643215701
648	0.5636342379
649	0.5630617268
650	0.5629576751
651	0.5622848789
652	0.5612772048
653	0.5606963564
654	0.5595509958
655	0.5588576163
656	0.5580445038
657	0.557123259
658	0.5569533962
659	0.5565235159
660	0.5553277059
661	0.5548269052
662	0.5536546749
663	0.5523368502
664	0.5513425681
665	0.5500818162
666	0.5493005562
667	0.5483567924
668	0.5482311424
669	0.5476753305
670	0.5466954948
671	0.5462820144
672	0.5454804982
673	0.5444918213
674	0.5439260427
675	0.5438374715
676	0.5427958047
677	0.5415457696
678	0.5405264965
679	0.5393534169
680	0.538264536
681	0.5376164308
682	0.5369061032
683	0.5360062742
684	0.5354012126
685	0.5347446308
686	0.5346835603
687	0.5341931014
688	0.5332919777
689	0.5326111108
690	0.5318715618
691	0.5310178321
692	0.530775254
693	0.5300812803
694	0.529137832
695	0.5280338741
696	0.5270271222
697	0.5261774853
698	0.5258479305
699	0.5249084635
700	0.5248219496
701	0.5238812271
702	0.5229747203
703	0.5223966936
704	0.521711184
705	0.5209380222
706	0.5202113277
707	0.5197168212
708	0.5188808574
709	0.5185036584
710	0.5179588021
711	0.5169550032
712	0.5160246945
713	0.5148821115
714	0.5138127561
715	0.5127732499
716	0.512087602
717	0.5114857228
718	0.5111835845
719	0.5101276017
720	0.5090485866
721	0.5082032268
722	0.5074545855
723	0.5065891069
724	0.505702799
725	0.5049568508
726	0.5042721707
727	0.5033464171
728	0.5029717226
729	0.5021724624
730	0.502098416
731	0.5012296713
732	0.5004908656
733	0.4996632524
734	0.4988653757
735	0.4982320137
736	0.4976193691
737	0.4965425215
738	0.4956514165
739	0.495290777
740	0.4947140448
741	0.4941644747
742	0.4939891882
743	0.4928078046
744	0.4921634114
745	0.4914722847
746	0.4908782948
747	0.4904348226
748	0.4897044845
749	0.4891040879
750	0.4885584828
751	0.488012173
752	0.4873509245
753	0.4863182259
754	0.485680792
755	0.4852060026
756	0.4843422811
757	0.4838102839
758	0.4829978946
759	0.4825994355
760	0.4817425416
761	0.4811548632
762	0.4802374922
763	0.4797140285
764	0.4788592274
765	0.4788118468
766	0.4782015129
767	0.4777302971
768	0.4771146613
769	0.4763752903
770	0.4754843
771	0.4748732726
772	0.4738562915
773	0.4730320271
774	0.4720853506
775	0.4715881073
776	0.4711300299
777	0.4701995352
778	0.4695639516
779	0.4688712947
780	0.4682131507
781	0.4675375255
782	0.4674831196
783	0.4667920086
784	0.4659138323
785	0.4654449801
786	0.4648559381
787	0.4640579482
788	0.4631166897
789	0.4624461668
790	0.4619049445
791	0.4610902304
792	0.4606837826
793	0.4600881801
794	0.4592896852
795	0.4585634835
796	0.4584631831
797	0.4578262281
798	0.4571047203
799	0.4563424059
800	0.4560123993
801	0.4553112695
802	0.454585987
803	0.4539771755
804	0.4534254234
805	0.4531970122
806	0.4528300833
807	0.4523121613
808	0.4518654604
809	0.4511032683
810	0.4505661736
811	0.4502806781
812	0.4498728881
813	0.4498084759
814	0.4489708107
815	0.4486600766
816	0.4478547944
817	0.4471542135
818	0.446802514
819	0.4467472294
820	0.44590393
821	0.4453881275
822	0.4448259788
823	0.4438795127
824	0.4432202996
825	0.4427089009
826	0.4422560251
827	0.441565511
828	0.4409712387
829	0.4402925056
830	0.4400076706
831	0.4393240403
832	0.43873387
833	0.4381080434
834	0.4372291715
835	0.4366068082
836	0.436165064
837	0.4357697361
838	0.435399692
839	0.4350692082
840	0.4342589102
841	0.4334870346
842	0.4329075581
843	0.4322809432
844	0.4317859188
845	0.431724952
846	0.4314527264
847	0.430727786
848	0.4300376166
849	0.4296822795
850	0.4294368068
851	0.4286065296
852	0.427764136
853	0.4273245612
854	0.4267993273
855	0.4259402948
856	0.4258385206
857	0.4251841556
858	0.424662312
859	0.4242007765
860	0.4236312542
861	0.4229465787
862	0.4226385951
863	0.422330797
864	0.4217202535
865	0.4211442639
866	0.4205539041
867	0.4198433965
868	0.4192395426
869	0.4183375002
870	0.4175791907
871	0.4173830527
872	0.4167160077
873	0.4158367689
874	0.4152639173
875	0.4148326753
876	0.4142149399
877	0.414167069
878	0.4137023409
879	0.4133618557
880	0.4128325965
881	0.412340582
882	0.4116231296
883	0.4115761647
884	0.4113859225
885	0.4111550136
886	0.4108116436
887	0.4105380317
888	0.4101960125
889	0.4095642196
890	0.4089181545
891	0.4081809963
892	0.4076929347
893	0.4071258345
894	0.4063363223
895	0.4058250694
896	0.4053580542
897	0.4045620951
898	0.4037909597
899	0.4031907891
900	0.4027381221
901	0.4024057284
902	0.4022316416
903	0.4015918245
904	0.4011036462
905	0.4005194928
906	0.4002308836
907	0.3995002154
908	0.3989661248
909	0.3983793758
910	0.397794975
911	0.397290625
912	0.3972548213
913	0.3966336142
914	0.3961667067
915	0.3958295643
916	0.3954351843
917	0.3951682192
918	0.3949748944
919	0.3944595768
920	0.3940353499
921	0.3934428231
922	0.3930399457
923	0.3929951659
924	0.3929247925
925	0.3923357292
926	0.3917820039
927	0.3911072063
928	0.3910685327
929	0.3905975209
930	0.3901112031
931	0.3895793487
932	0.3890061218
933	0.3886642829
934	0.3881392652
935	0.3879238071
936	0.3872278722
937	0.3868194864
938	0.3862587164
939	0.3862236602
940	0.3858335685
941	0.3852804829
942	0.3847096649
943	0.3843750917
944	0.384211534
945	0.3837526649
946	0.3830313052
947	0.3825789145
948	0.3820195111
949	0.3817307431
950	0.38124166
951	0.3807928445
952	0.3801414955
953	0.3797271466
954	0.3791433311
955	0.3786144538
956	0.3781305342
957	0.3775545142
958	0.3769679921
959	0.3765623272
960	0.3758377533
961	0.3753565121
962	0.3748263277
963	0.3743650716
964	0.3738163549
965	0.3733225343
966	0.3732239979
967	0.3725318904
968	0.3721252301
969	0.3719141817
970	0.371440277
971	0.3711408528
972	0.3707990026
973	0.3705537758
974	0.3702873856
975	0.369681604
976	0.3693394058
977	0.368991192
978	0.3686784852
979	0.3683373055
980	0.3680548776
981	0.3678124141
982	0.3677694773
983	0.3673699156
984	0.3669810233
985	0.3664748562
986	0.3661518745
987	0.3656425169
988	0.365030076
989	0.3645120935
990	0.3637608339
991	0.3637074045
992	0.3636716868
993	0.3633413419
994	0.3628807317
995	0.3627089718
996	0.3623163894
997	0.3620081301
998	0.3618190412
999	0.3617834833
